uid,site,date,lon_gda94,lat_gda94,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha,total_alv_ba,total_ded_ba,tot_ba_m2ha
141,site20,20230916,131.55771979013545,-12.807804106710764,2728.2674772036476,2724.0524781341105,9181.486880466471,49210.932944606415,21508.600583090378,58395.699708454806,15169.679300291544,82521.20991253645,1282.2857142857142,1334.7857142857142,4498.928571428571,24113.35714285714,10539.214285714284,28613.892857142855,7433.142857142856,40435.392857142855,12.642857142857142,1.0714285714285714,13.714285714285715
142,site21,20230916,131.56669553407158,-12.816563842429792,8757.75075987842,8737.609329446064,23913.994169096208,95725.94752186586,52430.903790087454,119639.94169096209,34605.83090379008,180471.13702623904,4116.142857142857,4281.428571428572,11717.857142857141,46905.714285714275,25691.14285714285,58623.57142857143,16956.85714285714,88430.85714285713,28.428571428571423,2.857142857142857,31.28571428571428
143,site22,20230916,132.25346103747694,-12.77087842999671,2572.0364741641333,2568.2215743440233,10425.364431486882,69200.2915451895,22511.661807580178,79629.15451895042,21016.326530612245,104607.8717201166,1208.8571428571427,1258.4285714285713,5108.428571428572,33908.142857142855,11030.714285714286,39018.28571428571,10298.0,51257.85714285713,17.14285714285714,1.8571428571428572,18.999999999999996
144,site23,20230916,132.53857746474145,-12.657977285836749,1448.70820668693,1449.3440233236151,5662.9008746355685,18423.104956268224,13970.48104956268,24086.00583090379,8098.396501457726,39446.064139941685,680.8928571428571,710.1785714285714,2774.8214285714284,9027.32142857143,6845.535714285714,11802.142857142857,3968.214285714286,19328.571428571424,7.142857142857142,0.1785714285714286,7.321428571428571
146,jnk101,20240526,130.9846922815218,-12.589930051704242,2050.911854103344,2048.3965014577266,6874.344023323616,29644.897959183672,15494.46064139942,36519.241982507294,10903.20699708455,53980.903790087475,963.9285714285716,1003.7142857142859,3368.428571428572,14526.0,7592.285714285716,17894.428571428572,5342.571428571429,26450.642857142862,9.142857142857142,0.7142857142857144,9.857142857142858
147,jnk102,20240526,130.99120299812228,-12.595088024259562,1829.2160502641723,1826.3153775412375,6348.1519165672025,37212.80842154696,13336.724910481928,43561.10708904846,11851.31195335277,58652.38617019194,859.731543624161,894.8945349952063,3110.594439117929,18234.27612655801,6534.995206136145,21344.942473633746,5807.142857142857,28739.66922339405,10.571428571428573,0.14285714285714285,10.714285714285717
148,jnk103,20240526,131.01499451787765,-12.611764716000451,1921.4285714285718,1917.0553935860062,5990.0874635568525,35100.437317784264,12117.93002915452,41090.524781341104,11061.224489795919,55051.45772594753,903.0714285714287,939.357142857143,2935.142857142858,17199.21428571429,5937.785714285715,20134.35714285714,5420.0,26975.21428571429,9.285714285714286,0.7142857142857143,9.999999999999998
149,fin101,20240526,131.01499758817147,-12.644688880745294,844.6808510638299,843.8775510204082,3403.3527696793003,18477.696793002917,7610.3498542274065,21881.77842565598,6241.6909620991255,30302.332361516033,397.0,413.5,1667.642857142857,9054.07142857143,3729.071428571429,10722.07142857143,3058.4285714285716,14848.142857142857,5.2857142857142865,0.3571428571428572,5.642857142857144
150,fin102,20240526,131.02303255401256,-12.642996550981081,3632.218844984803,3628.5714285714284,12333.527696793004,55999.125364431486,28060.349854227406,68332.6530612245,19752.186588921282,99876.96793002915,1707.1428571428573,1778.0,6043.428571428572,27439.571428571428,13749.57142857143,33483.0,9678.571428571428,48939.71428571428,16.714285714285715,1.1428571428571428,17.857142857142854
151,lfr101,20240526,130.8388958542966,-12.811394520522128,2374.7720364741635,2371.428571428571,7697.95918367347,40209.03790087463,17274.344023323614,47907.58017492711,12799.41690962099,67459.76676384838,1116.1428571428569,1161.9999999999998,3772.0,19702.42857142857,8464.42857142857,23474.714285714286,6271.714285714285,33055.28571428571,10.857142857142858,0.7142857142857144,11.57142857142857
