uid,site,date,lon_gda94,lat_gda94,tot_ba_m2ha,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
35,NTAGFU0030,20120705,134.3778,-14.1349,3.66666666666667,972.8723404255328,973.2993197278917,3802.8911564625882,12371.938775510214,9381.802721088443,16174.8299319728,5438.435374149663,26489.795918367363,457.2500000000004,476.9166666666669,1863.416666666668,6062.250000000005,4597.083333333337,7925.6666666666715,2664.833333333335,12980.000000000007
36,NTAGFU0031,20120706,134.3867,-14.12586,0.6625,791.3833586626141,791.7306851311954,3093.463192419825,10063.95809037901,7631.630830903791,13157.421282798834,4423.8972303207,21548.134110787174,371.95017857142864,387.94803571428577,1515.7969642857142,4931.339464285715,3739.4991071428576,6447.136428571429,2167.709642857143,10558.585714285715
37,NTAGFU0032,20120707,134.3736,-14.15062,0.3,378.43085106382983,378.5969387755102,1479.2602040816328,4812.474489795919,3649.362244897959,6291.734693877551,2115.4591836734694,10304.081632653062,177.8625,185.5125,724.8375000000001,2358.1125,1788.1875,3082.95,1036.575,5049.0
38,NTAGFU0033,20120708,134.3555,-14.17696,15.0,3630.9574468085107,3632.5510204081634,14193.163265306122,46174.5918367347,35014.795918367345,60367.75510204082,20297.34693877551,98865.30612244898,1706.55,1779.95,6954.65,22625.55,17157.25,29580.2,9945.7,48444.0
39,NTAGFU0034,20120709,134.4216,-14.06223,0.75,1381.396276595745,1382.0025510204082,5399.783163265307,17567.104591836734,13321.364795918367,22966.88775510204,7722.117346938776,37613.26530612245,649.25625,677.18125,2645.89375,8607.88125,6527.46875,11253.775,3783.8375,18430.5
40,NTAGFU0035,20120710,134.4207,-14.04786,0.7,1286.9946808510647,1287.5595238095245,5030.773809523813,16366.607142857152,12411.011904761912,21397.380952380965,7194.404761904766,35042.85714285717,604.8875000000004,630.904166666667,2465.0791666666682,8019.637500000004,6081.395833333337,10484.716666666673,3525.2583333333355,17171.00000000001
41,NTAGFU0036,20120711,133.863,-14.67457,8.22222222222222,1901.7730496453898,1902.6077097505663,7433.90022675737,24184.693877551017,18339.56916099773,31618.594104308384,10631.065759637184,51782.31292517006,893.8333333333331,932.2777777777775,3642.611111111111,11850.499999999998,8986.388888888887,15493.111111111108,5209.22222222222,25373.33333333333
42,NTAGFU0037,20120712,133.8924,-14.67367,0.541666666666667,1571.4361702127662,1572.1258503401361,6142.63605442177,19983.82653061225,15153.996598639458,26126.462585034016,8784.455782312925,42787.755102040814,738.575,770.3416666666667,3009.891666666667,9792.075,7425.458333333334,12801.966666666667,4304.383333333333,20966.0
43,NTAGFU0038,20120712,133.8937,-14.68998,12.5555555555556,3114.2907801418523,3115.6575963718906,12173.548752834498,39604.18367346949,30032.36961451255,51777.73242630399,17409.13832199551,84797.27891156485,1463.7166666666706,1526.6722222222263,5965.038888888904,19406.05000000005,14715.86111111115,25371.088888888957,8530.4777777778,41550.66666666677
44,NTAGFU0039,20120714,133.8823,-14.6768,0.1,1136.941489361702,1137.4404761904761,4444.22619047619,14458.392857142855,10963.988095238094,18902.619047619046,6355.595238095238,30957.14285714286,534.3625,557.3458333333333,2177.670833333333,7084.612499999999,5372.354166666666,9262.283333333333,3114.2416666666663,15169.0
